@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute leap-1 numeric
@attribute leap-2 numeric
@attribute leap-3 numeric
@attribute leap-4 numeric
@attribute leap-5 numeric
@attribute leap-6 numeric
@attribute leap-7 numeric
@attribute leap-8 numeric
@attribute leap-9 numeric
@attribute leap-10 numeric
@attribute leap-11 numeric
@attribute leap-12 numeric
@attribute leap-13 numeric
@attribute leap-14 numeric
@attribute leap-15 numeric
@attribute leap-16 numeric
@attribute leap-17 numeric
@attribute leap-18 numeric
@attribute leap-19 numeric
@attribute leap-20 numeric
@attribute leap-21 numeric
@attribute leap-22 numeric
@attribute leap-23 numeric
@attribute leap-24 numeric
@attribute leap-25 numeric
@attribute leap-26 numeric
@attribute leap-27 numeric
@attribute leap-28 numeric
@attribute leap-29 numeric
@attribute leap-30 numeric
@attribute leap-31 numeric
@attribute leap-32 numeric
@attribute leap-33 numeric
@attribute leap-34 numeric
@attribute leap-35 numeric
@attribute leap-36 numeric
@attribute leap-37 numeric
@attribute leap-38 numeric
@attribute leap-39 numeric
@attribute leap-40 numeric
@attribute leap-41 numeric
@attribute leap-42 numeric
@attribute leap-43 numeric
@attribute leap-44 numeric
@attribute leap-45 numeric
@attribute leap-46 numeric
@attribute leap-47 numeric
@attribute leap-48 numeric
@attribute leap-49 numeric
@attribute leap-50 numeric
@attribute leap-51 numeric
@attribute leap-52 numeric
@attribute leap-53 numeric
@attribute leap-54 numeric
@attribute leap-55 numeric
@attribute leap-56 numeric
@attribute leap-57 numeric
@attribute leap-58 numeric
@attribute leap-59 numeric
@attribute leap-60 numeric
@attribute amplitude numeric
@attribute frequency numeric

@data
21,'2024/11/13 08:18:57:392',2,0.041868,0.057328,0.037855,0.032718,0.043241,0.0431,0.00496,0.001084,0.000362,0.000078,0.092545,0.079279,0.071764,0.102155,0.102319,0.112334,0.018559,0.004108,0.001321,0.0004,0.05343,0.046172,0.034643,0.038325,0.044555,0.036544,0.002753,0.001129,0.000253,0.000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
22,'2024/11/13 08:18:57:405',2,0.041941,0.057367,0.037934,0.032809,0.043295,0.043126,0.004983,0.001088,0.000323,0.000039,0.093107,0.07981,0.07233,0.102994,0.102966,0.112782,0.01874,0.00412,0.001157,0.000147,0.053431,0.046172,0.034667,0.038347,0.044586,0.036594,0.002813,0.001132,0.000262,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
23,'2024/11/13 08:18:57:420',2,0.041584,0.057052,0.037604,0.032241,0.042864,0.042998,0.004954,0.001069,0.000441,0.000197,0.092076,0.078812,0.071246,0.101402,0.101471,0.11189,0.01824,0.004088,0.001354,0.000532,0.053176,0.045981,0.034459,0.037992,0.044264,0.036524,0.002843,0.00112,0.000396,0.000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
24,'2024/11/13 08:18:57:436',2,0.040394,0.055619,0.036561,0.030933,0.041697,0.042125,0.005021,0.001124,0.000561,0.00031,0.089031,0.076212,0.068776,0.09692,0.098241,0.109094,0.017914,0.004368,0.001948,0.001128,0.051692,0.044782,0.033494,0.036621,0.042861,0.03582,0.002916,0.001169,0.000498,0.000293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
25,'2024/11/13 08:18:57:454',2,0.040021,0.055228,0.036311,0.030333,0.041565,0.042019,0.005295,0.001265,0.000622,0.000347,0.087571,0.075195,0.068,0.093813,0.097559,0.10857,0.018081,0.00479,0.002544,0.001513,0.051043,0.044387,0.033221,0.035822,0.042218,0.035935,0.003228,0.001333,0.000656,0.000398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
26,'2024/11/13 08:18:57:469',2,0.03983,0.055003,0.03626,0.030035,0.041751,0.041921,0.005472,0.001272,0.000546,0.000288,0.086426,0.074603,0.067881,0.091156,0.097836,0.108396,0.018334,0.004795,0.00259,0.001559,0.050325,0.043968,0.033112,0.034978,0.041621,0.036054,0.003463,0.001337,0.00069,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
27,'2024/11/13 08:18:57:485',2,0.038957,0.053752,0.03558,0.029385,0.041176,0.040956,0.005437,0.001189,0.00037,0.000127,0.084146,0.073121,0.067143,0.087763,0.096879,0.106378,0.018365,0.004355,0.002238,0.001311,0.048423,0.042514,0.032314,0.033389,0.04016,0.035203,0.003455,0.001206,0.000573,0.000353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
28,'2024/11/13 08:18:57:501',2,0.039043,0.053813,0.035718,0.029502,0.041406,0.041013,0.005535,0.001206,0.000314,0.000045,0.084626,0.073955,0.06855,0.087685,0.098487,0.107399,0.018395,0.003916,0.001681,0.000862,0.048094,0.042428,0.032559,0.033056,0.040103,0.035334,0.003503,0.001196,0.000515,0.000273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
29,'2024/11/13 08:18:57:519',2,0.038786,0.053588,0.035414,0.029158,0.040999,0.040907,0.005462,0.001193,0.000359,0.000128,0.08549,0.074958,0.069946,0.088318,0.099757,0.108252,0.018445,0.003644,0.001099,0.000201,0.04798,0.042468,0.032812,0.032963,0.04021,0.035428,0.003466,0.001078,0.000292,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
30,'2024/11/13 08:18:57:535',2,0.037281,0.051674,0.03386,0.027659,0.039002,0.039707,0.005508,0.001343,0.000574,0.000342,0.083043,0.072905,0.06811,0.085826,0.096886,0.105457,0.017914,0.003476,0.000964,0.000119,0.046365,0.041089,0.031836,0.031865,0.038943,0.034307,0.003371,0.001022,0.000238,0.000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
